User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
0,0,2002,9,1,6:21,$134.09 ,Swipe Transaction,3527213246127876953,La Verne,CA,91750,5300,,Yes
0,0,2002,9,1,6:42,$38.48 ,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,,Yes
0,0,2002,9,2,6:22,$120.34 ,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,,Yes
0,0,2002,9,2,17:45,$128.95 ,Swipe Transaction,3414527459579106770,Monterey Park,CA,91754,5651,,Yes
0,0,2002,9,3,6:23,$104.71 ,Swipe Transaction,5817218446178736267,La Verne,CA,91750,5912,,Yes
0,0,2002,9,3,13:53,$86.19 ,Swipe Transaction,-7.14667E+18,Monterey Park,CA,91755,5970,,Yes
0,0,2002,9,4,5:51,$93.84 ,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,,No
0,0,2002,9,4,6:09,$123.50 ,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,,No
1,0,2002,9,5,6:14,$61.72 ,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,,No
1,0,2002,9,5,9:35,$57.10 ,Swipe Transaction,4055257078481058705,La Verne,CA,91750,7538,,No
1,0,2002,9,5,20:18,$76.07 ,Swipe Transaction,-4.50054E+18,La Verne,CA,91750,5814,,No
1,0,2002,9,5,20:41,$53.91 ,Online Transaction,-9.09268E+18,ONLINE,,,4900,,No
1,0,2002,9,6,6:16,$110.37 ,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752,5541,,No
1,0,2002,9,7,6:16,$117.05 ,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,,No
1,0,2002,9,7,6:34,$45.30 ,Swipe Transaction,-5.47568E+18,Monterey Park,CA,91755,5942,,No
1,0,2002,9,7,9:39,$29.34 ,Swipe Transaction,4055257078481058705,La Verne,CA,91750,7538,,Yes
1,0,2002,9,8,6:10,$147.45 ,Swipe Transaction,-3.45515E+16,La Verne,CA,91750,5912,,Yes
0,0,2002,9,8,6:38,$27.75 ,Swipe Transaction,4060646732831064559,La Verne,CA,91750,5411,,Yes
0,0,2002,9,8,13:48,$76.57 ,Swipe Transaction,-7.27612E+17,Monterey Park,CA,91754,5411,,Yes
0,0,2002,9,8,22:01,$22.56 ,Swipe Transaction,-6.73317E+18,Mira Loma,CA,91752,7832,,Yes
0,0,2002,9,9,6:54,$37.50 ,Swipe Transaction,4060646732831064559,La Verne,CA,91750,5411,,Yes
0,0,2002,9,9,9:40,$65.50 ,Swipe Transaction,-3.34594E+18,La Verne,CA,91750,7538,Technical Glitch,Yes
